  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  6:25AM ??         1:41.92 /sbin/launchd
    0   279     1   0  6:26AM ??         0:03.87 /usr/sbin/syslogd
    0   280     1   0  6:26AM ??         0:02.11 /usr/libexec/UserEventAgent (System)
    0   282     1   0  6:26AM ??         0:00.51 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0   283     1   0  6:26AM ??         0:25.93 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   284     1   0  6:26AM ??         0:10.58 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   287     1   0  6:26AM ??         0:12.03 /usr/sbin/systemstats --daemon
    0   289     1   0  6:26AM ??         0:17.65 /usr/libexec/configd
    0   291     1   0  6:26AM ??         0:12.32 /System/Library/CoreServices/powerd.bundle/powerd
    0   294     1   0  6:26AM ??         0:00.08 /usr/libexec/remoted
    0   296     1   0  6:26AM ??         0:32.69 /usr/libexec/logd
    0   302     1   0  6:26AM ??         0:00.62 /usr/libexec/watchdogd
    0   306     1   0  6:26AM ??         0:29.72 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0   308     1   0  6:26AM ??         0:00.79 /usr/libexec/kernelmanagerd
    0   309     1   0  6:26AM ??         0:03.74 /usr/libexec/diskarbitrationd
    0   315     1   0  6:26AM ??         0:02.48 /usr/libexec/thermalmonitord
    0   316     1   0  6:26AM ??         0:16.27 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   317     1   0  6:26AM ??         0:17.43 /usr/libexec/opendirectoryd
    0   318     1   0  6:26AM ??         0:05.07 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   319     1   0  6:26AM ??         0:17.32 /System/Library/CoreServices/launchservicesd
  266   320     1   0  6:26AM ??         0:00.45 /usr/libexec/timed
  213   321     1   0  6:26AM ??         0:00.43 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   322     1   0  6:26AM ??         0:05.69 /usr/sbin/securityd -i
    0   323     1   0  6:26AM ??         0:00.01 auditd -l
  205   325     1   0  6:26AM ??         0:14.87 /usr/libexec/locationd
    0   327     1   0  6:26AM ??         0:00.02 autofsd
    0   328     1   0  6:26AM ??         0:14.59 /usr/libexec/dasd
  241   330     1   0  6:26AM ??         0:02.04 /usr/sbin/distnoted daemon
    0   332     1   0  6:26AM ??         0:43.19 /usr/libexec/PerfPowerServices
    0   334     1   0  6:26AM ??         0:00.15 /System/Library/CoreServices/logind
    0   335     1   0  6:26AM ??         0:00.13 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   336     1   0  6:26AM ??         0:00.01 /usr/sbin/KernelEventAgent
    0   338     1   0  6:26AM ??         0:42.39 /usr/sbin/bluetoothd
    0   339     1   0  6:26AM ??         0:08.71 /usr/sbin/notifyd
    0   341     1   0  6:26AM ??         1:00.84 /usr/libexec/corebrightnessd --launchd
    0   342     1   0  6:26AM ??         0:10.69 /usr/libexec/AirPlayXPCHelper
    0   343     1   0  6:26AM ??         0:15.50 /usr/sbin/cfprefsd daemon
    0   344     1   0  6:26AM ??         0:00.93 /System/Library/CoreServices/coreservicesd
    0   345     1   0  6:26AM ??         0:15.32 /usr/libexec/syspolicyd
   88   347     1   0  6:26AM ??        35:24.19 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
    0   348     1   0  6:26AM ??         0:12.99 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  501   349     1   0  6:26AM ??         0:22.16 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0   360     1   0  6:26AM ??         0:00.67 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    0   361     1   0  6:26AM ??         0:34.67 /usr/libexec/airportd
    0   371     1   0  6:26AM ??         0:13.61 /usr/libexec/runningboardd
    0   379     1   0  6:26AM ??         0:00.20 /usr/sbin/distnoted agent
  202   381     1   0  6:26AM ??         9:43.17 /usr/sbin/coreaudiod
  263   384     1   0  6:26AM ??         0:03.43 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    0   400     1   0  6:26AM ??         0:01.62 /usr/libexec/lsd runAsRoot
   88   406     1   0  6:26AM ??         0:00.20 /usr/sbin/distnoted agent
